dHydro_strain	Plot_devia_strain	X1	Y1	X2	Y2	X3	Y3
-0.00426	0.00222655	0.00111327	0.00192825	-0.00222655	3.94156e-09	0.00111327	-0.00192825
-0.00427	0.00221512	0.00110756	0.00191835	-0.00221512	3.92133e-09	0.00110755	-0.00191835
-0.00428	0.00220361	0.00110181	0.00190839	-0.00220361	3.90096e-09	0.0011018	-0.00190839
-0.00429	0.00219203	0.00109602	0.00189835	-0.00219203	3.88046e-09	0.00109601	-0.00189836
-0.0043	0.00218037	0.00109018	0.00188825	-0.00218037	3.85981e-09	0.00109018	-0.00188826
-0.00431	0.00216863	0.00108431	0.00187809	-0.00216863	3.83903e-09	0.00108431	-0.00187809
-0.00432	0.00215681	0.0010784	0.00186785	-0.00215681	3.8181e-09	0.0010784	-0.00186785
-0.00433	0.00214491	0.00107246	0.00185755	-0.00214491	3.79704e-09	0.00107245	-0.00185755
-0.00434	0.00213294	0.00106647	0.00184718	-0.00213294	3.77585e-09	0.00106646	-0.00184718
-0.00435	0.00212089	0.00106044	0.00183674	-0.00212089	3.75451e-09	0.00106044	-0.00183674
-0.00436	0.00210875	0.00105438	0.00182624	-0.00210875	3.73304e-09	0.00105437	-0.00182624
-0.00437	0.00209655	0.00104827	0.00181566	-0.00209655	3.71142e-09	0.00104827	-0.00181567
-0.00438	0.00208426	0.00104213	0.00180502	-0.00208426	3.68967e-09	0.00104212	-0.00180503
-0.00439	0.0020719	0.00103595	0.00179431	-0.0020719	3.66779e-09	0.00103594	-0.00179432
-0.0044	0.00205945	0.00102973	0.00178354	-0.00205945	3.64576e-09	0.00102972	-0.00178354
-0.00441	0.00204693	0.00102347	0.0017727	-0.00204693	3.62359e-09	0.00102346	-0.0017727
-0.00442	0.00203433	0.00101717	0.00176178	-0.00203433	3.60129e-09	0.00101716	-0.00176179
-0.00443	0.00202166	0.00101083	0.00175081	-0.00202166	3.57885e-09	0.00101082	-0.00175081
-0.00444	0.0020089	0.00100445	0.00173976	-0.0020089	3.55627e-09	0.00100445	-0.00173976
-0.00445	0.00199607	0.000998035	0.00172865	-0.00199607	3.53356e-09	0.000998029	-0.00172865
-0.00446	0.00198316	0.00099158	0.00171747	-0.00198316	3.5107e-09	0.000991574	-0.00171747
-0.00447	0.00197017	0.000985085	0.00170622	-0.00197017	3.48771e-09	0.000985079	-0.00170622
-0.00448	0.0019571	0.000978552	0.0016949	-0.0019571	3.46458e-09	0.000978546	-0.00169491
-0.00449	0.00194396	0.00097198	0.00168352	-0.00194396	3.44131e-09	0.000971974	-0.00168352
-0.0045	0.00193074	0.000965368	0.00167207	-0.00193074	3.4179e-09	0.000965363	-0.00167207
-0.00451	0.00191744	0.000958718	0.00166055	-0.00191744	3.39435e-09	0.000958712	-0.00166055
-0.00452	0.00190406	0.000952029	0.00164896	-0.00190406	3.37067e-09	0.000952023	-0.00164897
-0.00453	0.0018906	0.000945301	0.00163731	-0.0018906	3.34685e-09	0.000945295	-0.00163731
-0.00454	0.00187707	0.000938533	0.00162559	-0.00187707	3.32289e-09	0.000938527	-0.00162559
-0.00455	0.00186345	0.000931727	0.0016138	-0.00186345	3.29879e-09	0.000931721	-0.0016138
-0.00456	0.00184976	0.000924882	0.00160194	-0.00184976	3.27455e-09	0.000924876	-0.00160195
-0.00457	0.00183599	0.000917997	0.00159002	-0.00183599	3.25018e-09	0.000917992	-0.00159002
-0.00458	0.00182215	0.000911074	0.00157803	-0.00182215	3.22567e-09	0.000911068	-0.00157803
-0.00459	0.00180822	0.000904111	0.00156597	-0.00180822	3.20102e-09	0.000904106	-0.00156597
-0.0046	0.00179422	0.00089711	0.00155384	-0.00179422	3.17623e-09	0.000897105	-0.00155384
-0.00461	0.00178014	0.00089007	0.00154165	-0.00178014	3.1513e-09	0.000890064	-0.00154165
-0.00462	0.00176598	0.00088299	0.00152938	-0.00176598	3.12624e-09	0.000882985	-0.00152939
-0.00463	0.00175174	0.000875872	0.00151705	-0.00175174	3.10104e-09	0.000875867	-0.00151706
-0.00464	0.00173743	0.000868715	0.00150466	-0.00173743	3.0757e-09	0.000868709	-0.00150466
-0.00465	0.00172304	0.000861518	0.00149219	-0.00172304	3.05022e-09	0.000861513	-0.0014922
-0.00466	0.00170857	0.000854283	0.00147966	-0.00170857	3.0246e-09	0.000854278	-0.00147966
-0.00467	0.00169402	0.000847008	0.00146706	-0.00169402	2.99884e-09	0.000847003	-0.00146706
-0.00468	0.00167939	0.000839695	0.00145439	-0.00167939	2.97295e-09	0.00083969	-0.0014544
-0.00469	0.00166469	0.000832343	0.00144166	-0.00166469	2.94692e-09	0.000832338	-0.00144166
-0.0047	0.0016499	0.000824951	0.00142886	-0.0016499	2.92075e-09	0.000824946	-0.00142886
-0.00471	0.00163504	0.000817521	0.00141599	-0.00163504	2.89444e-09	0.000817516	-0.00141599
-0.00472	0.0016201	0.000810051	0.00140305	-0.0016201	2.868e-09	0.000810046	-0.00140305
-0.00473	0.00160509	0.000802543	0.00139005	-0.00160509	2.84141e-09	0.000802538	-0.00139005
-0.00474	0.00158999	0.000794996	0.00137697	-0.00158999	2.81469e-09	0.000794991	-0.00137698
-0.00475	0.00157482	0.000787409	0.00136383	-0.00157482	2.78783e-09	0.000787404	-0.00136384
-0.00476	0.00155957	0.000779784	0.00135062	-0.00155957	2.76083e-09	0.000779779	-0.00135063
-0.00477	0.00154424	0.000772119	0.00133735	-0.00154424	2.7337e-09	0.000772115	-0.00133735
-0.00478	0.00152883	0.000764416	0.00132401	-0.00152883	2.70642e-09	0.000764411	-0.00132401
-0.00479	0.00151335	0.000756673	0.0013106	-0.00151335	2.67901e-09	0.000756669	-0.0013106
-0.0048	0.00149778	0.000748892	0.00129712	-0.00149778	2.65146e-09	0.000748887	-0.00129712
-0.00481	0.00148214	0.000741071	0.00128357	-0.00148214	2.62377e-09	0.000741067	-0.00128358
-0.00482	0.00146642	0.000733212	0.00126996	-0.00146642	2.59595e-09	0.000733207	-0.00126996
-0.00483	0.00145063	0.000725314	0.00125628	-0.00145063	2.56798e-09	0.000725309	-0.00125628
-0.00484	0.00143475	0.000717376	0.00124253	-0.00143475	2.53988e-09	0.000717372	-0.00124253
-0.00485	0.0014188	0.0007094	0.00122872	-0.0014188	2.51164e-09	0.000709395	-0.00122872
-0.00486	0.00140277	0.000701384	0.00121483	-0.00140277	2.48326e-09	0.00070138	-0.00121484
-0.00487	0.00138666	0.00069333	0.00120088	-0.00138666	2.45474e-09	0.000693325	-0.00120088
-0.00488	0.00137047	0.000685236	0.00118686	-0.00137047	2.42609e-09	0.000685232	-0.00118687
-0.00489	0.00135421	0.000677104	0.00117278	-0.00135421	2.39729e-09	0.000677099	-0.00117278
-0.0049	0.00133786	0.000668932	0.00115862	-0.00133786	2.36836e-09	0.000668928	-0.00115863
-0.00491	0.00132144	0.000660722	0.0011444	-0.00132144	2.33929e-09	0.000660718	-0.00114441
-0.00492	0.00130494	0.000652472	0.00113011	-0.00130494	2.31009e-09	0.000652468	-0.00113012
-0.00493	0.00128837	0.000644184	0.00111576	-0.00128837	2.28074e-09	0.00064418	-0.00111576
-0.00494	0.00127171	0.000635856	0.00110133	-0.00127171	2.25126e-09	0.000635852	-0.00110134
-0.00495	0.00125498	0.00062749	0.00108684	-0.00125498	2.22163e-09	0.000627486	-0.00108685
-0.00496	0.00123817	0.000619084	0.00107228	-0.00123817	2.19187e-09	0.00061908	-0.00107229
-0.00497	0.00122128	0.000610639	0.00105766	-0.00122128	2.16198e-09	0.000610636	-0.00105766
-0.00498	0.00120431	0.000602156	0.00104296	-0.00120431	2.13194e-09	0.000602152	-0.00104297
-0.00499	0.00118727	0.000593633	0.0010282	-0.00118727	2.10177e-09	0.00059363	-0.00102821
-0.005	0.00117014	0.000585072	0.00101337	-0.00117014	2.07145e-09	0.000585068	-0.00101338
-0.00501	0.00115294	0.000576471	0.000998477	-0.00115294	2.041e-09	0.000576468	-0.00099848
-0.00502	0.00113566	0.000567832	0.000983513	-0.00113566	2.01042e-09	0.000567828	-0.000983515
-0.00503	0.00111831	0.000559153	0.000968482	-0.00111831	1.97969e-09	0.00055915	-0.000968484
-0.00504	0.00110087	0.000550436	0.000953382	-0.00110087	1.94882e-09	0.000550432	-0.000953384
-0.00505	0.00108336	0.000541679	0.000938216	-0.00108336	1.91782e-09	0.000541676	-0.000938217
-0.00506	0.00106577	0.000532883	0.000922981	-0.00106577	1.88668e-09	0.00053288	-0.000922983
-0.00507	0.0010481	0.000524049	0.000907679	-0.0010481	1.8554e-09	0.000524046	-0.000907681
-0.00508	0.00103035	0.000515175	0.00089231	-0.00103035	1.82398e-09	0.000515172	-0.000892311
-0.00509	0.00101253	0.000506263	0.000876873	-0.00101253	1.79243e-09	0.00050626	-0.000876874
-0.0051	0.000994622	0.000497311	0.000861368	-0.000994622	1.76074e-09	0.000497308	-0.00086137
-0.00511	0.000976641	0.00048832	0.000845796	-0.000976641	1.7289e-09	0.000488317	-0.000845798
-0.00512	0.000958582	0.000479291	0.000830156	-0.000958582	1.69694e-09	0.000479288	-0.000830158
-0.00513	0.000940444	0.000470222	0.000814449	-0.000940444	1.66483e-09	0.000470219	-0.00081445
-0.00514	0.000922229	0.000461115	0.000798674	-0.000922229	1.63258e-09	0.000461112	-0.000798676
-0.00515	0.000903936	0.000451968	0.000782831	-0.000903936	1.6002e-09	0.000451965	-0.000782833
-0.00516	0.000885565	0.000442782	0.000766922	-0.000885565	1.56768e-09	0.00044278	-0.000766923
-0.00517	0.000867115	0.000433558	0.000750944	-0.000867115	1.53502e-09	0.000433555	-0.000750946
-0.00518	0.000848588	0.000424294	0.000734899	-0.000848588	1.50222e-09	0.000424291	-0.0007349
-0.00519	0.000829983	0.000414991	0.000718786	-0.000829983	1.46928e-09	0.000414989	-0.000718788
-0.0052	0.0008113	0.00040565	0.000702606	-0.0008113	1.43621e-09	0.000405647	-0.000702607
-0.00521	0.000792538	0.000396269	0.000686358	-0.000792538	1.403e-09	0.000396267	-0.00068636
-0.00522	0.000773699	0.000386849	0.000670043	-0.000773699	1.36965e-09	0.000386847	-0.000670044
-0.00523	0.000754782	0.000377391	0.00065366	-0.000754782	1.33616e-09	0.000377389	-0.000653661
-0.00524	0.000735786	0.000367893	0.00063721	-0.000735786	1.30253e-09	0.000367891	-0.000637211
-0.00525	0.000716713	0.000358356	0.000620692	-0.000716713	1.26877e-09	0.000358354	-0.000620693
-0.00526	0.000697562	0.000348781	0.000604106	-0.000697562	1.23486e-09	0.000348779	-0.000604107
-0.00527	0.000678332	0.000339166	0.000587453	-0.000678332	1.20082e-09	0.000339164	-0.000587454
-0.00528	0.000659025	0.000329512	0.000570732	-0.000659025	1.16664e-09	0.00032951	-0.000570733
-0.00529	0.000639639	0.00031982	0.000553944	-0.000639639	1.13233e-09	0.000319818	-0.000553945
-0.0053	0.000620176	0.000310088	0.000537088	-0.000620176	1.09787e-09	0.000310086	-0.000537089
-0.00531	0.000600635	0.000300317	0.000520165	-0.000600635	1.06328e-09	0.000300316	-0.000520166
-0.00532	0.000581015	0.000290508	0.000503174	-0.000581015	1.02855e-09	0.000290506	-0.000503175
-0.00533	0.000561318	0.000280659	0.000486116	-0.000561318	9.93677e-10	0.000280657	-0.000486117
-0.00534	0.000541542	0.000270771	0.00046899	-0.000541542	9.58669e-10	0.00027077	-0.00046899
-0.00535	0.000521689	0.000260845	0.000451796	-0.000521689	9.23523e-10	0.000260843	-0.000451797
-0.00536	0.000501758	0.000250879	0.000434535	-0.000501758	8.8824e-10	0.000250877	-0.000434536
-0.00537	0.000481748	0.000240874	0.000417206	-0.000481748	8.52818e-10	0.000240873	-0.000417207
-0.00538	0.000461661	0.00023083	0.00039981	-0.000461661	8.17258e-10	0.000230829	-0.000399811
-0.00539	0.000441495	0.000220748	0.000382346	-0.000441495	7.8156e-10	0.000220746	-0.000382347
-0.0054	0.000421252	0.000210626	0.000364815	-0.000421252	7.45724e-10	0.000210625	-0.000364815
-0.00541	0.00040093	0.000200465	0.000347216	-0.00040093	7.09749e-10	0.000200464	-0.000347216
-0.00542	0.000380531	0.000190265	0.000329549	-0.000380531	6.73637e-10	0.000190264	-0.00032955
-0.00543	0.000360053	0.000180027	0.000311815	-0.000360053	6.37386e-10	0.000180025	-0.000311816
-0.00544	0.000339498	0.000169749	0.000294014	-0.000339498	6.00998e-10	0.000169748	-0.000294014
